City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,east london,-33.0153,27.9116,70.99,84,100,12.57,ZA,1675818360
155,jagdalpur,19.0667,82.0333,56.91,46,4,0.96,IN,1675818360
156,lagos,6.5833,3.75,80.92,86,100,3.4,NG,1675817656
157,oranjestad,12.524,-70.027,78.91,77,20,18.41,AW,1675818208
158,luderitz,-26.6481,15.1594,65.5,83,38,19.08,NA,1675818361
159,sao felix do xingu,-6.6447,-51.995,72.59,95,97,1.36,BR,1675818061
160,buraydah,26.326,43.975,48.65,42,100,6.38,SA,1675818252
161,vestmannaeyjar,63.4427,-20.2734,32.47,62,100,35.16,IS,1675818361
162,los llanos de aridane,28.6585,-17.9182,55.15,79,0,7.0,ES,1675818361
163,mingshui,36.7167,117.5,27.82,50,100,7.43,CN,1675818362
164,iqaluit,63.7506,-68.5145,-27.67,75,75,0.0,CA,1675818364
165,hasaki,35.7333,140.8333,50.4,70,100,23.11,JP,1675818150
166,katsuura,35.1333,140.3,51.48,71,97,17.18,JP,1675818370
167,nan,18.8333,100.6667,57.22,94,1,0.0,TH,1675818371
168,pevek,69.7008,170.3133,-21.53,92,100,2.91,RU,1675818352
169,mayo,38.8876,-76.5119,48.2,80,0,8.05,US,1675818381
170,kortkeros,61.8106,51.5806,17.6,94,100,9.42,RU,1675818382
171,hun,29.1268,15.9477,50.54,50,99,14.92,LY,1675818390
172,maroua,10.591,14.3159,73.76,20,32,7.9,CM,1675818394
173,saint-philippe,-21.3585,55.7679,76.59,83,94,13.94,RE,1675818397
174,vawkavysk,53.1561,24.4513,26.28,94,98,4.43,BY,1675818399
175,geraldton,-28.7667,114.6,75.61,64,0,13.8,AU,1675818400
176,ilulissat,69.2167,-51.1,-16.58,76,100,5.75,GL,1675818407
177,dingle,10.9995,122.6711,79.23,79,100,11.92,PH,1675818246
178,isangel,-19.55,169.2667,80.31,82,100,4.65,VU,1675818408
179,torbay,47.6666,-52.7314,25.57,85,75,25.32,CA,1675818220
180,horsham,51.064,-0.3272,37.62,90,9,1.14,GB,1675818408
181,traverse city,44.7631,-85.6206,37.6,78,0,10.36,US,1675818408
182,castro,-24.7911,-50.0119,62.58,92,26,5.55,BR,1675818408
183,moree,-29.4667,149.85,85.26,34,91,11.68,AU,1675818409
184,villamontes,-21.25,-63.5,70.02,97,100,2.86,BO,1675818409
185,vryburg,-26.9566,24.7284,66.92,72,100,4.63,ZA,1675818410
186,tura,25.5198,90.2201,61.03,50,93,3.58,IN,1675818410
187,ahipara,-35.1667,173.1667,72.39,53,36,7.11,NZ,1675818410
188,banjar,-8.19,114.9675,79.3,89,98,2.91,ID,1675818410
189,limbang,4.75,115.0,77.11,82,93,1.25,MY,1675818411
190,yankton,42.8711,-97.3973,37.11,75,0,8.05,US,1675818411
191,fortuna,40.5982,-124.1573,56.93,72,75,0.0,US,1675818294
192,inhambane,-23.865,35.3833,77.72,88,12,7.27,MZ,1675818411
193,ponta do sol,32.6667,-17.1,60.71,66,34,6.55,PT,1675818412
194,port blair,11.6667,92.75,77.27,74,82,11.39,IN,1675818412
195,exu,-7.5119,-39.7242,69.24,42,100,0.92,BR,1675818412
196,moussoro,13.6408,16.4901,69.15,20,100,15.55,TD,1675818412
197,progreso,21.2833,-89.6667,79.11,66,13,10.0,MX,1675818413
198,husavik,66.0449,-17.3389,23.58,71,92,13.33,IS,1675818330
199,batagay,67.6333,134.6333,-55.34,98,53,2.37,RU,1675818413
200,kruisfontein,-34.0033,24.7314,66.88,82,100,4.7,ZA,1675818413
201,kudat,6.8837,116.8477,77.97,84,99,6.51,MY,1675818414
202,yatou,37.15,122.3833,37.38,54,67,12.73,CN,1675818351
203,yelizovo,53.1873,158.3805,10.54,56,20,4.47,RU,1675818414
204,kieta,-6.2167,155.6333,84.18,73,36,8.79,PG,1675818414
205,honiara,-9.4333,159.95,84.34,74,100,7.09,SB,1675818415
